origen,destino,year,num_migrantes
Eastern Africa,Developed regions,1990,863906
Middle Africa,Developed regions,1990,410433
Northern Africa,Developed regions,1990,3161800
Southern Africa,Developed regions,1990,229362
Western Africa,Developed regions,1990,726622
Central Asia,Developed regions,1990,5115880
Eastern Asia,Developed regions,1990,3844369
South-Eastern Asia,Developed regions,1990,3779787
Southern Asia,Developed regions,1990,2747367
Western Asia,Developed regions,1990,6077240
Eastern Europe,Developed regions,1990,17711583
Northern Europe,Developed regions,1990,5815798
Southern Europe,Developed regions,1990,8940781
Western Europe,Developed regions,1990,5172328
Caribbean,Developed regions,1990,3611619
Central America,Developed regions,1990,5567240
South America,Developed regions,1990,2054000
NORTHERN AMERICA,Developed regions,1990,1908980
OCEANIA,Developed regions,1990,831371
Eastern Africa,Less developed regions,1990,6920837
Middle Africa,Less developed regions,1990,1511810
Northern Africa,Less developed regions,1990,2124857
Southern Africa,Less developed regions,1990,347390
Western Africa,Less developed regions,1990,4324447
Central Asia,Less developed regions,1990,604012
Eastern Asia,Less developed regions,1990,3204655
South-Eastern Asia,Less developed regions,1990,3945608
Southern Asia,Less developed regions,1990,22636761
Western Asia,Less developed regions,1990,5001321
Eastern Europe,Less developed regions,1990,7068090
Northern Europe,Less developed regions,1990,411453
Southern Europe,Less developed regions,1990,1682045
Western Europe,Less developed regions,1990,928200
Caribbean,Less developed regions,1990,528156
Central America,Less developed regions,1990,1255796
South America,Less developed regions,1990,2256588
NORTHERN AMERICA,Less developed regions,1990,893155
OCEANIA,Less developed regions,1990,130176
Eastern Africa,"Less developed regions, excluding least developed countries",1990,1488353
Middle Africa,"Less developed regions, excluding least developed countries",1990,344496
Northern Africa,"Less developed regions, excluding least developed countries",1990,1836357
Southern Africa,"Less developed regions, excluding least developed countries",1990,319561
Western Africa,"Less developed regions, excluding least developed countries",1990,2453577
Central Asia,"Less developed regions, excluding least developed countries",1990,561448
Eastern Asia,"Less developed regions, excluding least developed countries",1990,2948517
South-Eastern Asia,"Less developed regions, excluding least developed countries",1990,3362871
Southern Asia,"Less developed regions, excluding least developed countries",1990,22127985
Western Asia,"Less developed regions, excluding least developed countries",1990,4981194
Eastern Europe,"Less developed regions, excluding least developed countries",1990,7066531
Northern Europe,"Less developed regions, excluding least developed countries",1990,390084
Southern Europe,"Less developed regions, excluding least developed countries",1990,1669617
Western Europe,"Less developed regions, excluding least developed countries",1990,882486
Caribbean,"Less developed regions, excluding least developed countries",1990,522711
Central America,"Less developed regions, excluding least developed countries",1990,1255216
South America,"Less developed regions, excluding least developed countries",1990,2250123
NORTHERN AMERICA,"Less developed regions, excluding least developed countries",1990,852963
OCEANIA,"Less developed regions, excluding least developed countries",1990,123555
Eastern Africa,"Less developed regions, excluding China",1990,6920837
Middle Africa,"Less developed regions, excluding China",1990,1511810
Northern Africa,"Less developed regions, excluding China",1990,2124857
Southern Africa,"Less developed regions, excluding China",1990,347390
Western Africa,"Less developed regions, excluding China",1990,4324447
Central Asia,"Less developed regions, excluding China",1990,604012
Eastern Asia,"Less developed regions, excluding China",1990,1249131
South-Eastern Asia,"Less developed regions, excluding China",1990,3434984
Southern Asia,"Less developed regions, excluding China",1990,22609728
Western Asia,"Less developed regions, excluding China",1990,5001321
Eastern Europe,"Less developed regions, excluding China",1990,7067757
Northern Europe,"Less developed regions, excluding China",1990,397951
Southern Europe,"Less developed regions, excluding China",1990,1677784
Western Europe,"Less developed regions, excluding China",1990,924237
Caribbean,"Less developed regions, excluding China",1990,528156
Central America,"Less developed regions, excluding China",1990,1255796
South America,"Less developed regions, excluding China",1990,2252974
NORTHERN AMERICA,"Less developed regions, excluding China",1990,871904
OCEANIA,"Less developed regions, excluding China",1990,121967
Eastern Africa,Least developed countries,1990,5432484
Middle Africa,Least developed countries,1990,1167314
Northern Africa,Least developed countries,1990,288500
Southern Africa,Least developed countries,1990,27829
Western Africa,Least developed countries,1990,1870870
Central Asia,Least developed countries,1990,42564
Eastern Asia,Least developed countries,1990,256138
South-Eastern Asia,Least developed countries,1990,582737
Southern Asia,Least developed countries,1990,508776
Western Asia,Least developed countries,1990,20127
Eastern Europe,Least developed countries,1990,1559
Northern Europe,Least developed countries,1990,21369
Southern Europe,Least developed countries,1990,12428
Western Europe,Least developed countries,1990,45714
Caribbean,Least developed countries,1990,5445
Central America,Least developed countries,1990,580
South America,Least developed countries,1990,6465
NORTHERN AMERICA,Least developed countries,1990,40192
OCEANIA,Least developed countries,1990,6621
Eastern Africa,Land-locked Developing Countries (LLDC),1990,3533388
Middle Africa,Land-locked Developing Countries (LLDC),1990,393874
Northern Africa,Land-locked Developing Countries (LLDC),1990,214450
Southern Africa,Land-locked Developing Countries (LLDC),1990,55819
Western Africa,Land-locked Developing Countries (LLDC),1990,578754
Central Asia,Land-locked Developing Countries (LLDC),1990,537701
Eastern Asia,Land-locked Developing Countries (LLDC),1990,108403
South-Eastern Asia,Land-locked Developing Countries (LLDC),1990,18489
Southern Asia,Land-locked Developing Countries (LLDC),1990,455476
Western Asia,Land-locked Developing Countries (LLDC),1990,925901
Eastern Europe,Land-locked Developing Countries (LLDC),1990,5999104
Northern Europe,Land-locked Developing Countries (LLDC),1990,45686
Southern Europe,Land-locked Developing Countries (LLDC),1990,91017
Western Europe,Land-locked Developing Countries (LLDC),1990,63361
Caribbean,Land-locked Developing Countries (LLDC),1990,567
Central America,Land-locked Developing Countries (LLDC),1990,12870
South America,Land-locked Developing Countries (LLDC),1990,215693
NORTHERN AMERICA,Land-locked Developing Countries (LLDC),1990,11782
OCEANIA,Land-locked Developing Countries (LLDC),1990,542
Eastern Africa,Small island developing States (SIDS),1990,15039
Middle Africa,Small island developing States (SIDS),1990,5228
Northern Africa,Small island developing States (SIDS),1990,29046
Southern Africa,Small island developing States (SIDS),1990,597
Western Africa,Small island developing States (SIDS),1990,19899
Central Asia,Small island developing States (SIDS),1990,3
Eastern Asia,Small island developing States (SIDS),1990,207621
South-Eastern Asia,Small island developing States (SIDS),1990,294110
Southern Asia,Small island developing States (SIDS),1990,167463
Western Asia,Small island developing States (SIDS),1990,19706
Eastern Europe,Small island developing States (SIDS),1990,8746
Northern Europe,Small island developing States (SIDS),1990,30051
Southern Europe,Small island developing States (SIDS),1990,39755
Western Europe,Small island developing States (SIDS),1990,125046
Caribbean,Small island developing States (SIDS),1990,441417
Central America,Small island developing States (SIDS),1990,41653
South America,Small island developing States (SIDS),1990,75083
NORTHERN AMERICA,Small island developing States (SIDS),1990,331961
OCEANIA,Small island developing States (SIDS),1990,83948
Eastern Africa,High-income countries,1990,987807
Middle Africa,High-income countries,1990,421086
Northern Africa,High-income countries,1990,4373600
Southern Africa,High-income countries,1990,238882
Western Africa,High-income countries,1990,726588
Central Asia,High-income countries,1990,187172
Eastern Asia,High-income countries,1990,5881506
South-Eastern Asia,High-income countries,1990,5599207
Southern Asia,High-income countries,1990,7231399
Western Asia,High-income countries,1990,4975410
Eastern Europe,High-income countries,1990,6728213
Northern Europe,High-income countries,1990,5585092
Southern Europe,High-income countries,1990,8750149
Western Europe,High-income countries,1990,5140451
Caribbean,High-income countries,1990,3792515
Central America,High-income countries,1990,5590653
South America,High-income countries,1990,2223779
NORTHERN AMERICA,High-income countries,1990,2289490
OCEANIA,High-income countries,1990,871441
Eastern Africa,Middle-income countries,1990,2099627
Middle Africa,Middle-income countries,1990,538525
Northern Africa,Middle-income countries,1990,633511
Southern Africa,Middle-income countries,1990,325873
Western Africa,Middle-income countries,1990,2845406
Central Asia,Middle-income countries,1990,5449081
Eastern Asia,Middle-income countries,1990,1135152
South-Eastern Asia,Middle-income countries,1990,2121488
Southern Asia,Middle-income countries,1990,18123683
Western Asia,Middle-income countries,1990,5834744
Eastern Europe,Middle-income countries,1990,17679351
Northern Europe,Middle-income countries,1990,634935
Southern Europe,Middle-income countries,1990,1866037
Western Europe,Middle-income countries,1990,810773
Caribbean,Middle-income countries,1990,288516
Central America,Middle-income countries,1990,1231803
South America,Middle-income countries,1990,2054624
NORTHERN AMERICA,Middle-income countries,1990,501565
OCEANIA,Middle-income countries,1990,85705
Eastern Africa,Upper-middle-income countries,1990,513716
Middle Africa,Upper-middle-income countries,1990,113303
Northern Africa,Upper-middle-income countries,1990,361412
Southern Africa,Upper-middle-income countries,1990,273245
Western Africa,Upper-middle-income countries,1990,104812
Central Asia,Upper-middle-income countries,1990,4749803
Eastern Asia,Upper-middle-income countries,1990,784043
South-Eastern Asia,Upper-middle-income countries,1990,1312783
Southern Asia,Upper-middle-income countries,1990,4251104
Western Asia,Upper-middle-income countries,1990,5132933
Eastern Europe,Upper-middle-income countries,1990,9592159
Northern Europe,Upper-middle-income countries,1990,508627
Southern Europe,Upper-middle-income countries,1990,1833905
Western Europe,Upper-middle-income countries,1990,670317
Caribbean,Upper-middle-income countries,1990,285515
Central America,Upper-middle-income countries,1990,895249
South America,Upper-middle-income countries,1990,1999176
NORTHERN AMERICA,Upper-middle-income countries,1990,391109
OCEANIA,Upper-middle-income countries,1990,53986
Eastern Africa,Lower-middle-income countries,1990,1585911
Middle Africa,Lower-middle-income countries,1990,425222
Northern Africa,Lower-middle-income countries,1990,272099
Southern Africa,Lower-middle-income countries,1990,52628
Western Africa,Lower-middle-income countries,1990,2740594
Central Asia,Lower-middle-income countries,1990,699278
Eastern Asia,Lower-middle-income countries,1990,351109
South-Eastern Asia,Lower-middle-income countries,1990,808705
Southern Asia,Lower-middle-income countries,1990,13872579
Western Asia,Lower-middle-income countries,1990,701811
Eastern Europe,Lower-middle-income countries,1990,8087192
Northern Europe,Lower-middle-income countries,1990,126308
Southern Europe,Lower-middle-income countries,1990,32132
Western Europe,Lower-middle-income countries,1990,140456
Caribbean,Lower-middle-income countries,1990,3001
Central America,Lower-middle-income countries,1990,336554
South America,Lower-middle-income countries,1990,55448
NORTHERN AMERICA,Lower-middle-income countries,1990,110456
OCEANIA,Lower-middle-income countries,1990,31719
Eastern Africa,Low-income countries,1990,4678450
Middle Africa,Low-income countries,1990,962632
Northern Africa,Low-income countries,1990,279291
Southern Africa,Low-income countries,1990,11965
Western Africa,Low-income countries,1990,1476645
Central Asia,Low-income countries,1990,83639
Eastern Asia,Low-income countries,1990,31337
South-Eastern Asia,Low-income countries,1990,3780
Southern Asia,Low-income countries,1990,28966
Western Asia,Low-income countries,1990,268101
Eastern Europe,Low-income countries,1990,372109
Northern Europe,Low-income countries,1990,5798
Southern Europe,Low-income countries,1990,6166
Western Europe,Low-income countries,1990,31602
Caribbean,Low-income countries,1990,5397
Central America,Low-income countries,1990,580
South America,Low-income countries,1990,5588
NORTHERN AMERICA,Low-income countries,1990,9894
OCEANIA,Low-income countries,1990,271
Eastern Africa,Developed regions,1995,1023533
Middle Africa,Developed regions,1995,476996
Northern Africa,Developed regions,1995,3418150
Southern Africa,Developed regions,1995,304581
Western Africa,Developed regions,1995,965984
Central Asia,Developed regions,1995,5576141
Eastern Asia,Developed regions,1995,4746136
South-Eastern Asia,Developed regions,1995,4623070
Southern Asia,Developed regions,1995,3681341
Western Asia,Developed regions,1995,6537373
Eastern Europe,Developed regions,1995,17870566
Northern Europe,Developed regions,1995,5791289
Southern Europe,Developed regions,1995,10401477
Western Europe,Developed regions,1995,5422085
Caribbean,Developed regions,1995,4451551
Central America,Developed regions,1995,8604622
South America,Developed regions,1995,2860518
NORTHERN AMERICA,Developed regions,1995,1950736
OCEANIA,Developed regions,1995,934229
Eastern Africa,Less developed regions,1995,6711241
Middle Africa,Less developed regions,1995,1380606
Northern Africa,Less developed regions,1995,2434271
Southern Africa,Less developed regions,1995,299875
Western Africa,Less developed regions,1995,5326157
Central Asia,Less developed regions,1995,583718
Eastern Asia,Less developed regions,1995,3420539
South-Eastern Asia,Less developed regions,1995,5071178
Southern Asia,Less developed regions,1995,19228783
Western Asia,Less developed regions,1995,5679643
Eastern Europe,Less developed regions,1995,6298022
Northern Europe,Less developed regions,1995,410958
Southern Europe,Less developed regions,1995,1488479
Western Europe,Less developed regions,1995,953127
Caribbean,Less developed regions,1995,584302
Central America,Less developed regions,1995,683842
South America,Less developed regions,1995,2484869
NORTHERN AMERICA,Less developed regions,1995,995425
OCEANIA,Less developed regions,1995,137066
Eastern Africa,"Less developed regions, excluding least developed countries",1995,1608250
Middle Africa,"Less developed regions, excluding least developed countries",1995,416622
Northern Africa,"Less developed regions, excluding least developed countries",1995,2005458
Southern Africa,"Less developed regions, excluding least developed countries",1995,265508
Western Africa,"Less developed regions, excluding least developed countries",1995,2858143
Central Asia,"Less developed regions, excluding least developed countries",1995,545149
Eastern Asia,"Less developed regions, excluding least developed countries",1995,3185257
South-Eastern Asia,"Less developed regions, excluding least developed countries",1995,4403286
Southern Asia,"Less developed regions, excluding least developed countries",1995,18463844
Western Asia,"Less developed regions, excluding least developed countries",1995,5648056
Eastern Europe,"Less developed regions, excluding least developed countries",1995,6296485
Northern Europe,"Less developed regions, excluding least developed countries",1995,379473
Southern Europe,"Less developed regions, excluding least developed countries",1995,1474418
Western Europe,"Less developed regions, excluding least developed countries",1995,905444
Caribbean,"Less developed regions, excluding least developed countries",1995,579109
Central America,"Less developed regions, excluding least developed countries",1995,683292
South America,"Less developed regions, excluding least developed countries",1995,2473724
NORTHERN AMERICA,"Less developed regions, excluding least developed countries",1995,952950
OCEANIA,"Less developed regions, excluding least developed countries",1995,130349
Eastern Africa,"Less developed regions, excluding China",1995,6711241
Middle Africa,"Less developed regions, excluding China",1995,1380606
Northern Africa,"Less developed regions, excluding China",1995,2434271
Southern Africa,"Less developed regions, excluding China",1995,299875
Western Africa,"Less developed regions, excluding China",1995,5326157
Central Asia,"Less developed regions, excluding China",1995,583718
Eastern Asia,"Less developed regions, excluding China",1995,1314876
South-Eastern Asia,"Less developed regions, excluding China",1995,4519132
Southern Asia,"Less developed regions, excluding China",1995,19196790
Western Asia,"Less developed regions, excluding China",1995,5679643
Eastern Europe,"Less developed regions, excluding China",1995,6297376
Northern Europe,"Less developed regions, excluding China",1995,395190
Southern Europe,"Less developed regions, excluding China",1995,1483790
Western Europe,"Less developed regions, excluding China",1995,948703
Caribbean,"Less developed regions, excluding China",1995,584302
Central America,"Less developed regions, excluding China",1995,683842
South America,"Less developed regions, excluding China",1995,2470903
NORTHERN AMERICA,"Less developed regions, excluding China",1995,964554
OCEANIA,"Less developed regions, excluding China",1995,127472
Eastern Africa,Least developed countries,1995,5102991
Middle Africa,Least developed countries,1995,963984
Northern Africa,Least developed countries,1995,428813
Southern Africa,Least developed countries,1995,34367
Western Africa,Least developed countries,1995,2468014
Central Asia,Least developed countries,1995,38569
Eastern Asia,Least developed countries,1995,235282
South-Eastern Asia,Least developed countries,1995,667892
Southern Asia,Least developed countries,1995,764939
Western Asia,Least developed countries,1995,31587
Eastern Europe,Least developed countries,1995,1537
Northern Europe,Least developed countries,1995,31485
Southern Europe,Least developed countries,1995,14061
Western Europe,Least developed countries,1995,47683
Caribbean,Least developed countries,1995,5193
Central America,Least developed countries,1995,550
South America,Least developed countries,1995,11145
NORTHERN AMERICA,Least developed countries,1995,42475
OCEANIA,Least developed countries,1995,6717
Eastern Africa,Land-locked Developing Countries (LLDC),1995,1866800
Middle Africa,Land-locked Developing Countries (LLDC),1995,472470
Northern Africa,Land-locked Developing Countries (LLDC),1995,352810
Southern Africa,Land-locked Developing Countries (LLDC),1995,53604
Western Africa,Land-locked Developing Countries (LLDC),1995,734211
Central Asia,Land-locked Developing Countries (LLDC),1995,520598
Eastern Asia,Land-locked Developing Countries (LLDC),1995,113642
South-Eastern Asia,Land-locked Developing Countries (LLDC),1995,17649
Southern Asia,Land-locked Developing Countries (LLDC),1995,712989
Western Asia,Land-locked Developing Countries (LLDC),1995,1035825
Eastern Europe,Land-locked Developing Countries (LLDC),1995,5198735
Northern Europe,Land-locked Developing Countries (LLDC),1995,41830
Southern Europe,Land-locked Developing Countries (LLDC),1995,101139
Western Europe,Land-locked Developing Countries (LLDC),1995,55472
Caribbean,Land-locked Developing Countries (LLDC),1995,772
Central America,Land-locked Developing Countries (LLDC),1995,12907
South America,Land-locked Developing Countries (LLDC),1995,217133
NORTHERN AMERICA,Land-locked Developing Countries (LLDC),1995,12496
OCEANIA,Land-locked Developing Countries (LLDC),1995,593
Eastern Africa,Small island developing States (SIDS),1995,15974
Middle Africa,Small island developing States (SIDS),1995,6421
Northern Africa,Small island developing States (SIDS),1995,31669
Southern Africa,Small island developing States (SIDS),1995,856
Western Africa,Small island developing States (SIDS),1995,31675
Central Asia,Small island developing States (SIDS),1995,4
Eastern Asia,Small island developing States (SIDS),1995,274231
South-Eastern Asia,Small island developing States (SIDS),1995,556822
Southern Asia,Small island developing States (SIDS),1995,239423
Western Asia,Small island developing States (SIDS),1995,22499
Eastern Europe,Small island developing States (SIDS),1995,7201
Northern Europe,Small island developing States (SIDS),1995,30697
Southern Europe,Small island developing States (SIDS),1995,38676
Western Europe,Small island developing States (SIDS),1995,146498
Caribbean,Small island developing States (SIDS),1995,494330
Central America,Small island developing States (SIDS),1995,45355
South America,Small island developing States (SIDS),1995,88686
NORTHERN AMERICA,Small island developing States (SIDS),1995,337195
OCEANIA,Small island developing States (SIDS),1995,92507
Eastern Africa,High-income countries,1995,1162407
Middle Africa,High-income countries,1995,486852
Northern Africa,High-income countries,1995,4694022
Southern Africa,High-income countries,1995,316021
Western Africa,High-income countries,1995,966527
Central Asia,High-income countries,1995,454968
Eastern Asia,High-income countries,1995,7017514
South-Eastern Asia,High-income countries,1995,6888567
Southern Asia,High-income countries,1995,8761448
Western Asia,High-income countries,1995,5544570
Eastern Europe,High-income countries,1995,7564119
Northern Europe,High-income countries,1995,5548653
Southern Europe,High-income countries,1995,9637948
Western Europe,High-income countries,1995,5393705
Caribbean,High-income countries,1995,4663118
Central America,High-income countries,1995,8630101
South America,High-income countries,1995,3081437
NORTHERN AMERICA,High-income countries,1995,2355943
OCEANIA,High-income countries,1995,981681
Eastern Africa,Middle-income countries,1995,2630977
Middle Africa,Middle-income countries,1995,646866
Northern Africa,Middle-income countries,1995,738851
Southern Africa,Middle-income countries,1995,264645
Western Africa,Middle-income countries,1995,3266609
Central Asia,Middle-income countries,1995,5636506
Eastern Asia,Middle-income countries,1995,1117516
South-Eastern Asia,Middle-income countries,1995,2801254
Southern Asia,Middle-income countries,1995,14105455
Western Asia,Middle-income countries,1995,6359328
Eastern Europe,Middle-income countries,1995,16303794
Northern Europe,Middle-income countries,1995,645675
Southern Europe,Middle-income countries,1995,2244599
Western Europe,Middle-income countries,1995,798735
Caribbean,Middle-income countries,1995,312039
Central America,Middle-income countries,1995,657813
South America,Middle-income countries,1995,2229557
NORTHERN AMERICA,Middle-income countries,1995,578704
OCEANIA,Middle-income countries,1995,84963
Eastern Africa,Upper-middle-income countries,1995,556176
Middle Africa,Upper-middle-income countries,1995,137418
Northern Africa,Upper-middle-income countries,1995,434947
Southern Africa,Upper-middle-income countries,1995,225501
Western Africa,Upper-middle-income countries,1995,115494
Central Asia,Upper-middle-income countries,1995,4936501
Eastern Asia,Upper-middle-income countries,1995,686655
South-Eastern Asia,Upper-middle-income countries,1995,1884109
Southern Asia,Upper-middle-income countries,1995,3028265
Western Asia,Upper-middle-income countries,1995,5648960
Eastern Europe,Upper-middle-income countries,1995,9336890
Northern Europe,Upper-middle-income countries,1995,507537
Southern Europe,Upper-middle-income countries,1995,2214391
Western Europe,Upper-middle-income countries,1995,682999
Caribbean,Upper-middle-income countries,1995,309025
Central America,Upper-middle-income countries,1995,460377
South America,Upper-middle-income countries,1995,2161531
NORTHERN AMERICA,Upper-middle-income countries,1995,467524
OCEANIA,Upper-middle-income countries,1995,54584
Eastern Africa,Lower-middle-income countries,1995,2074801
Middle Africa,Lower-middle-income countries,1995,509448
Northern Africa,Lower-middle-income countries,1995,303904
Southern Africa,Lower-middle-income countries,1995,39144
Western Africa,Lower-middle-income countries,1995,3151115
Central Asia,Lower-middle-income countries,1995,700005
Eastern Asia,Lower-middle-income countries,1995,430861
South-Eastern Asia,Lower-middle-income countries,1995,917145
Southern Asia,Lower-middle-income countries,1995,11077190
Western Asia,Lower-middle-income countries,1995,710368
Eastern Europe,Lower-middle-income countries,1995,6966904
Northern Europe,Lower-middle-income countries,1995,138138
Southern Europe,Lower-middle-income countries,1995,30208
Western Europe,Lower-middle-income countries,1995,115736
Caribbean,Lower-middle-income countries,1995,3014
Central America,Lower-middle-income countries,1995,197436
South America,Lower-middle-income countries,1995,68026
NORTHERN AMERICA,Lower-middle-income countries,1995,111180
OCEANIA,Lower-middle-income countries,1995,30379
Eastern Africa,Low-income countries,1995,3903903
Middle Africa,Low-income countries,1995,723884
Northern Africa,Low-income countries,1995,419242
Southern Africa,Low-income countries,1995,23769
Western Africa,Low-income countries,1995,2056308
Central Asia,Low-income countries,1995,68385
Eastern Asia,Low-income countries,1995,30341
South-Eastern Asia,Low-income countries,1995,3517
Southern Asia,Low-income countries,1995,43114
Western Asia,Low-income countries,1995,312697
Eastern Europe,Low-income countries,1995,300675
Northern Europe,Low-income countries,1995,6439
Southern Europe,Low-income countries,1995,6794
Western Europe,Low-income countries,1995,32453
Caribbean,Low-income countries,1995,5131
Central America,Low-income countries,1995,550
South America,Low-income countries,1995,6164
NORTHERN AMERICA,Low-income countries,1995,10139
OCEANIA,Low-income countries,1995,260
Eastern Africa,Developed regions,2000,1203241
Middle Africa,Developed regions,2000,555050
Northern Africa,Developed regions,2000,3751335
Southern Africa,Developed regions,2000,411006
Western Africa,Developed regions,2000,1223065
Central Asia,Developed regions,2000,5894237
Eastern Asia,Developed regions,2000,5734323
South-Eastern Asia,Developed regions,2000,5542550
Southern Asia,Developed regions,2000,4656760
Western Asia,Developed regions,2000,6772438
Eastern Europe,Developed regions,2000,18238874
Northern Europe,Developed regions,2000,5938923
Southern Europe,Developed regions,2000,11341484
Western Europe,Developed regions,2000,5823252
Caribbean,Developed regions,2000,5322354
Central America,Developed regions,2000,11713406
South America,Developed regions,2000,3702061
NORTHERN AMERICA,Developed regions,2000,2015659
OCEANIA,Developed regions,2000,1100642
Eastern Africa,Less developed regions,2000,4876751
Middle Africa,Less developed regions,2000,1884310
Northern Africa,Less developed regions,2000,2690654
Southern Africa,Less developed regions,2000,321306
Western Africa,Less developed regions,2000,5163285
Central Asia,Less developed regions,2000,568108
Eastern Asia,Less developed regions,2000,3618365
South-Eastern Asia,Less developed regions,2000,6545616
Southern Asia,Less developed regions,2000,19778589
Western Asia,Less developed regions,2000,6222627
Eastern Europe,Less developed regions,2000,5581785
Northern Europe,Less developed regions,2000,483617
Southern Europe,Less developed regions,2000,1309861
Western Europe,Less developed regions,2000,1009988
Caribbean,Less developed regions,2000,644133
Central America,Less developed regions,2000,515297
South America,Less developed regions,2000,2731449
NORTHERN AMERICA,Less developed regions,2000,1134260
OCEANIA,Less developed regions,2000,146194
Eastern Africa,"Less developed regions, excluding least developed countries",2000,1759038
Middle Africa,"Less developed regions, excluding least developed countries",2000,562190
Northern Africa,"Less developed regions, excluding least developed countries",2000,2189425
Southern Africa,"Less developed regions, excluding least developed countries",2000,286113
Western Africa,"Less developed regions, excluding least developed countries",2000,2958214
Central Asia,"Less developed regions, excluding least developed countries",2000,533533
Eastern Asia,"Less developed regions, excluding least developed countries",2000,3403075
South-Eastern Asia,"Less developed regions, excluding least developed countries",2000,5793418
Southern Asia,"Less developed regions, excluding least developed countries",2000,18963740
Western Asia,"Less developed regions, excluding least developed countries",2000,6181359
Eastern Europe,"Less developed regions, excluding least developed countries",2000,5580308
Northern Europe,"Less developed regions, excluding least developed countries",2000,442711
Southern Europe,"Less developed regions, excluding least developed countries",2000,1294377
Western Europe,"Less developed regions, excluding least developed countries",2000,962432
Caribbean,"Less developed regions, excluding least developed countries",2000,639292
Central America,"Less developed regions, excluding least developed countries",2000,514776
South America,"Less developed regions, excluding least developed countries",2000,2715817
NORTHERN AMERICA,"Less developed regions, excluding least developed countries",2000,1089448
OCEANIA,"Less developed regions, excluding least developed countries",2000,139472
Eastern Africa,"Less developed regions, excluding China",2000,4876751
Middle Africa,"Less developed regions, excluding China",2000,1884310
Northern Africa,"Less developed regions, excluding China",2000,2690654
Southern Africa,"Less developed regions, excluding China",2000,321306
Western Africa,"Less developed regions, excluding China",2000,5163285
Central Asia,"Less developed regions, excluding China",2000,568108
Eastern Asia,"Less developed regions, excluding China",2000,1369562
South-Eastern Asia,"Less developed regions, excluding China",2000,5949154
Southern Asia,"Less developed regions, excluding China",2000,19741543
Western Asia,"Less developed regions, excluding China",2000,6222627
Eastern Europe,"Less developed regions, excluding China",2000,5580774
Northern Europe,"Less developed regions, excluding China",2000,465575
Southern Europe,"Less developed regions, excluding China",2000,1307316
